    "STOPID","PLANVERSIONID","SHORTNAME","LONGNAME","GPS_X","GPS_Y","DECIMALLONGITUDE","DECIMALLATITUDE","PLANVERSIONID","ACTIVATIONDATE","CREATIONDATE"
514076,241,C73K27B,Cl 73 entre Kr 27B y 27D,-762908428,32523313,-76.48567444,3.4231425,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514078,241,K28C88,Kr 28 entre Cl 88 y 83,-762902138,32508492,-76.48392722,3.41902556,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514079,241,K28C79,Kr 28 entre Cl 79 y 73,-762909853,32515895,-76.48607028,3.42108194,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514080,241,C73K8,Cl 73 con Kr 8,-762857582,32705544,-76.48266167,3.45154,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514081,241,K27C77,Kr 27 entre Cl 77 y 78,-762902085,32522566,-76.4839125,3.422935,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514082,241,C73K7R,Cl 73 entre Kr 7RBis y 7S,-762855734,32714742,-76.48214833,3.454095,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514083,241,K27C85,Kr 27 entre Cl 85 y 86,-762854645,32515534,-76.48184583,3.42098167,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514084,241,K27C911,Kr 27 entre Cl 91 y 96,-762846903,32508129,-76.47969528,3.41892472,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514085,241,T103D262,Tr 103 entre Dg 26P17 y 26P16,-762841929,32512028,-76.47831361,3.42000778,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514086,241,T103D264,Tr 103 entre Dg 26P9 y 26P8,-762839963,32522362,-76.4777675,3.42287833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514087,241,T103C94,Tr 103 entre Cl 95 y 92,-762837479,32535346,-76.4770775,3.426485,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514088,241,T103C84,Tr 103 entre Cl 84 y 80F,-762839012,32546441,-76.47750333,3.42956694,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514089,241,T103C80A,Tr 103 entre Cl 80A y 80,-762842063,32554762,-76.47835083,3.43187833,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514090,241,T103C78B,Tr 103 entre Cl 79 y 78,-762843431,32559011,-76.47873083,3.43305861,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514091,241,T103C772,Tr 103 entre Cl 77 y 76,-762847087,32609097,-76.47974639,3.43586028,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514092,241,T103C74,Tr 103 entre Cl 75 y 74,-762850297,32618155,-76.48063806,3.43837639,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514095,241,C73K7M,Cl 73 entre Kr 7M y 7LBis,-762853820,32722770,-76.48161667,3.456325,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514096,241,C73K7JB,Cl 73 entre Kr 7JBis y 7J,-762852356,32729760,-76.48121,3.45826667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514097,241,C73K7B,Cl 73 entre Kr 7B y 7BBis,-762847736,32754480,-76.47992667,3.46513333,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514098,241,C73K7G,Cl 73 entre Kr 7G y 7FBis,-762850130,32738220,-76.48059167,3.46061667,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
514099,241,C73K7D,Cl 73 entre Kr 7D y 7C,-762848154,32747210,-76.48004278,3.46311389,241,2018-05-15 00:00:00.000,2018-05-14 22:55:16.000
