========================================
REPORTE COMPLETO SISTEMA SITM-MIO
========================================

Estadísticas Generales:
  Total de Nodos: 2119
  Total de Arcos: 3974
  Total de Rutas: 181
  Velocidad Promedio General: 16,33 km/h

Resumen por Rutas:
------------------------------------------------------------
Ruta: P24A-0 | Arcos: 20 | Distancia: 8,02 km | Tiempo: 31,09 min | Velocidad: 15,20 km/h
Ruta: P72-1 | Arcos: 37 | Distancia: 13,81 km | Tiempo: 55,00 min | Velocidad: 14,81 km/h
Ruta: A85-0 | Arcos: 20 | Distancia: 5,17 km | Tiempo: 19,47 min | Velocidad: 15,73 km/h
Ruta: A78A-1 | Arcos: 20 | Distancia: 4,09 km | Tiempo: 15,94 min | Velocidad: 15,40 km/h
Ruta: P24A-1 | Arcos: 21 | Distancia: 7,17 km | Tiempo: 29,33 min | Velocidad: 14,57 km/h
Ruta: P72-0 | Arcos: 35 | Distancia: 13,56 km | Tiempo: 51,12 min | Velocidad: 15,54 km/h
Ruta: A13C-1 | Arcos: 9 | Distancia: 2,51 km | Tiempo: 9,17 min | Velocidad: 16,13 km/h
Ruta: A13C-0 | Arcos: 7 | Distancia: 1,93 km | Tiempo: 7,53 min | Velocidad: 15,40 km/h
Ruta: P10A-0 | Arcos: 28 | Distancia: 10,56 km | Tiempo: 41,86 min | Velocidad: 14,86 km/h
Ruta: P10A-1 | Arcos: 27 | Distancia: 10,56 km | Tiempo: 41,52 min | Velocidad: 14,89 km/h
Ruta: E31-0 | Arcos: 13 | Distancia: 16,91 km | Tiempo: 40,68 min | Velocidad: 24,42 km/h
Ruta: E31-1 | Arcos: 11 | Distancia: 16,77 km | Tiempo: 40,24 min | Velocidad: 25,00 km/h
Ruta: A36-1 | Arcos: 7 | Distancia: 1,95 km | Tiempo: 7,61 min | Velocidad: 15,40 km/h
Ruta: A44B-0 | Arcos: 9 | Distancia: 2,62 km | Tiempo: 10,21 min | Velocidad: 15,40 km/h
Ruta: A44B-1 | Arcos: 22 | Distancia: 5,06 km | Tiempo: 19,73 min | Velocidad: 15,40 km/h
Ruta: A55-0 | Arcos: 20 | Distancia: 4,96 km | Tiempo: 19,33 min | Velocidad: 15,40 km/h
Ruta: A55-1 | Arcos: 18 | Distancia: 4,56 km | Tiempo: 17,75 min | Velocidad: 15,40 km/h
Ruta: A17A-1 | Arcos: 8 | Distancia: 5,48 km | Tiempo: 16,34 min | Velocidad: 17,88 km/h
Ruta: A36-0 | Arcos: 10 | Distancia: 2,26 km | Tiempo: 8,80 min | Velocidad: 15,40 km/h
Ruta: P83-1 | Arcos: 35 | Distancia: 10,67 km | Tiempo: 43,43 min | Velocidad: 14,51 km/h
Ruta: A32-1 | Arcos: 25 | Distancia: 7,70 km | Tiempo: 28,36 min | Velocidad: 15,66 km/h
Ruta: P83-0 | Arcos: 31 | Distancia: 10,24 km | Tiempo: 40,25 min | Velocidad: 14,97 km/h
Ruta: A35A-1 | Arcos: 11 | Distancia: 3,84 km | Tiempo: 13,12 min | Velocidad: 16,60 km/h
Ruta: P30A-1 | Arcos: 27 | Distancia: 11,43 km | Tiempo: 41,57 min | Velocidad: 16,00 km/h
Ruta: A12B-1 | Arcos: 13 | Distancia: 2,72 km | Tiempo: 10,61 min | Velocidad: 15,40 km/h
Ruta: T57A-1 | Arcos: 16 | Distancia: 9,58 km | Tiempo: 20,71 min | Velocidad: 27,75 km/h
Ruta: T57A-0 | Arcos: 17 | Distancia: 9,63 km | Tiempo: 20,39 min | Velocidad: 27,88 km/h
Ruta: A12B-0 | Arcos: 13 | Distancia: 2,70 km | Tiempo: 10,53 min | Velocidad: 15,40 km/h
Ruta: A14A-0 | Arcos: 10 | Distancia: 4,19 km | Tiempo: 14,29 min | Velocidad: 17,38 km/h
Ruta: A14A-1 | Arcos: 5 | Distancia: 4,50 km | Tiempo: 13,73 min | Velocidad: 18,04 km/h
Ruta: A41A-1 | Arcos: 22 | Distancia: 6,05 km | Tiempo: 23,58 min | Velocidad: 15,40 km/h
Ruta: A41A-0 | Arcos: 25 | Distancia: 6,32 km | Tiempo: 24,62 min | Velocidad: 15,40 km/h
Ruta: P30A-0 | Arcos: 32 | Distancia: 10,30 km | Tiempo: 41,74 min | Velocidad: 14,56 km/h
Ruta: A04-0 | Arcos: 13 | Distancia: 2,94 km | Tiempo: 11,44 min | Velocidad: 15,40 km/h
